Recording_ID,Genus,Specific_epithet,English_name,Vocalization_type
234032,Fringilla,coelebs,Common Chaffinch,"call, male, song"
168175,Fringilla,coelebs,Common Chaffinch,"male, song"
213928,Fringilla,coelebs,Common Chaffinch,"male, song"
512407,Fringilla,coelebs,Common Chaffinch,"adult, male, song"
177404,Fringilla,coelebs,Common Chaffinch,"call, male, song"
536517,Fringilla,coelebs,Common Chaffinch,"adult, male, song"
278175,Fringilla,coelebs,Common Chaffinch,"flight call, male, song"
167197,Fringilla,coelebs,Common Chaffinch,"call, male, song"
463626,Fringilla,coelebs,Common Chaffinch,"male, song"
176831,Fringilla,coelebs,Common Chaffinch,"call, male, song"
180001,Fringilla,coelebs,Common Chaffinch,"male, song"
247639,Fringilla,coelebs,Common Chaffinch,"male, song"
310175,Fringilla,coelebs,Common Chaffinch,"call, male, song"
176750,Fringilla,coelebs,Common Chaffinch,"call, male, song"
324070,Fringilla,coelebs,Common Chaffinch,"male, song"
177663,Fringilla,coelebs,Common Chaffinch,"male, song"
168016,Fringilla,coelebs,Common Chaffinch,"male, song"
177432,Fringilla,coelebs,Common Chaffinch,"male, song"
366473,Fringilla,coelebs,Common Chaffinch,"call, male, song"
176748,Fringilla,coelebs,Common Chaffinch,"call, male, song"
205724,Fringilla,coelebs,Common Chaffinch,"male, song"
180984,Fringilla,coelebs,Common Chaffinch,"male, song"
177414,Fringilla,coelebs,Common Chaffinch,"male, song"
205205,Fringilla,coelebs,Common Chaffinch,"male, song"
206360,Fringilla,coelebs,Common Chaffinch,"male, song"
187361,Fringilla,coelebs,Common Chaffinch,"male, song"
372989,Fringilla,coelebs,Common Chaffinch,"male, song"
278566,Fringilla,coelebs,Common Chaffinch,"male, song"
313372,Fringilla,coelebs,Common Chaffinch,"male, song"
141193,Fringilla,coelebs,Common Chaffinch,"male, song"
265526,Fringilla,coelebs,Common Chaffinch,"male, song"
426190,Fringilla,coelebs,Common Chaffinch,"male, song"
180632,Fringilla,coelebs,Common Chaffinch,"male, song"
184283,Fringilla,coelebs,Common Chaffinch,"male, song"
310392,Fringilla,coelebs,Common Chaffinch,"call, male, rain call, song"
246716,Fringilla,coelebs,Common Chaffinch,"male, song"
482442,Fringilla,coelebs,Common Chaffinch,"male, song"
142955,Fringilla,coelebs,Common Chaffinch,"male, song"
480674,Fringilla,coelebs,Common Chaffinch,"call, male, song"
534100,Fringilla,coelebs,Common Chaffinch,"adult, male, song"
528247,Fringilla,coelebs,Common Chaffinch,"male, song"
312827,Fringilla,coelebs,Common Chaffinch,"male, song"
372323,Fringilla,coelebs,Common Chaffinch,"aberrant song, male, song"
263367,Parus,major,Great Tit,"male, song"
125448,Parus,major,Great Tit,"Mimicry, male, song"
235098,Parus,major,Great Tit,"male, song"
532302,Parus,major,Great Tit,"adult, male, song"
134527,Parus,major,Great Tit,"male, song"
536914,Parus,major,Great Tit,"adult, male, song"
310678,Parus,major,Great Tit,"male, song"
465662,Parus,major,Great Tit,"male, song"
168221,Parus,major,Great Tit,"call, male, song"
212210,Parus,major,Great Tit,"male, song"
361594,Parus,major,Great Tit,"male, song"
363337,Parus,major,Great Tit,"male, song"
122942,Parus,major,Great Tit,"male, song"
153792,Parus,major,Great Tit,"male, song"
411043,Parus,major,Great Tit,"male, song"
155699,Parus,major,Great Tit,"male, song"
211491,Parus,major,Great Tit,"call, male, song"
169873,Parus,major,Great Tit,"male, song"
150232,Parus,major,Great Tit,"call, hostile song, male"
139327,Parus,major,Great Tit,"male, subsong"
207532,Parus,major,Great Tit,"male, song"
412159,Parus,major,Great Tit,"male, song"
212208,Parus,major,Great Tit,"male, song"
169054,Parus,major,Great Tit,"male, song"
443775,Parus,major,Great Tit,"male, song"
310679,Parus,major,Great Tit,"male, song"
361592,Parus,major,Great Tit,"male, song"
199180,Parus,major,Great Tit,"call, male, song"
405784,Parus,major,Great Tit,"male, song"
170338,Parus,major,Great Tit,"call, male, song"
416752,Parus,major,Great Tit,"antagonistic song, male, song"
359286,Parus,major,Great Tit,"male, song, song"
131706,Parus,major,Great Tit,"male, song"
301900,Parus,major,Great Tit,"male, song"
298864,Parus,major,Great Tit,"male, song"
480475,Parus,major,Great Tit,"male, song"
200095,Parus,major,Great Tit,"male, song"
455702,Parus,major,Great Tit,"male, song"
466803,Parus,major,Great Tit,"male, song"
129323,Parus,major,Great Tit,"male, song"
181530,Parus,major,Great Tit,"male, song"
168924,Parus,major,Great Tit,"male, song"
532226,Parus,major,Great Tit,"male, song"
206851,Turdus,merula,Common Blackbird,"call, male, song"
72862,Turdus,merula,Common Blackbird,"male, song"
132596,Turdus,merula,Common Blackbird,"male, song"
129088,Turdus,merula,Common Blackbird,"male, song"
132618,Turdus,merula,Common Blackbird,"male, song"
177721,Turdus,merula,Common Blackbird,"male, song"
197097,Turdus,merula,Common Blackbird,"male, song"
155897,Turdus,merula,Common Blackbird,"male, song"
394983,Turdus,merula,Common Blackbird,"male, song"
180743,Turdus,merula,Common Blackbird,"male, song"
207245,Turdus,merula,Common Blackbird,"male, song"
537177,Turdus,merula,Common Blackbird,"adult, male, song"
318262,Turdus,merula,Common Blackbird,"male, song"
215581,Turdus,merula,Common Blackbird,"male, song"
142275,Turdus,merula,Common Blackbird,"male, song"
473918,Turdus,merula,Common Blackbird,"male, song"
531092,Turdus,merula,Common Blackbird,"male, song"
278587,Turdus,merula,Common Blackbird,"male, song"
394729,Turdus,merula,Common Blackbird,"male, song"
194011,Turdus,merula,Common Blackbird,"male, song"
252882,Turdus,merula,Common Blackbird,"male, song"
467464,Turdus,merula,Common Blackbird,"male, song"
323956,Turdus,merula,Common Blackbird,"male, song"
207238,Turdus,merula,Common Blackbird,"male, song"
438242,Turdus,merula,Common Blackbird,"male, song"
458092,Turdus,merula,Common Blackbird,"male, song"
534614,Turdus,merula,Common Blackbird,"adult, male, song"
298601,Turdus,merula,Common Blackbird,"bell from the church, male, song"
237132,Turdus,merula,Common Blackbird,"male, song"
177684,Turdus,merula,Common Blackbird,"male, song"
287927,Turdus,merula,Common Blackbird,"male, song, subsong"
366999,Turdus,merula,Common Blackbird,"male, song"
401810,Turdus,merula,Common Blackbird,"male, song"
180718,Turdus,merula,Common Blackbird,"male, song"
172676,Turdus,merula,Common Blackbird,"male, song"
325210,Turdus,merula,Common Blackbird,"male, song"
99075,Turdus,merula,Common Blackbird,"alarm call, male, song"
476942,Turdus,merula,Common Blackbird,"male, song"
206850,Turdus,merula,Common Blackbird,"call, male, song"
127996,Turdus,merula,Common Blackbird,"call, flight call, male, song"
226288,Turdus,merula,Common Blackbird,"male, song"
144196,Turdus,merula,Common Blackbird,"male, song"
156083,Turdus,merula,Common Blackbird,"male, song"
176763,Turdus,philomelos,Song Thrush,"male, song"
138645,Turdus,philomelos,Song Thrush,"male, song"
125120,Turdus,philomelos,Song Thrush,"male, song"
158299,Turdus,philomelos,Song Thrush,"male, song"
169026,Turdus,philomelos,Song Thrush,"male, song"
292263,Turdus,philomelos,Song Thrush,"male, song"
158302,Turdus,philomelos,Song Thrush,"male, song"
177640,Turdus,philomelos,Song Thrush,"male, song"
478923,Turdus,philomelos,Song Thrush,"male, song"
240109,Turdus,philomelos,Song Thrush,"male, song"
184278,Turdus,philomelos,Song Thrush,"male, song"
144336,Turdus,philomelos,Song Thrush,"male, song"
325362,Turdus,philomelos,Song Thrush,"male, song"
536690,Turdus,philomelos,Song Thrush,"adult, male, song"
198240,Turdus,philomelos,Song Thrush,"male, song"
361304,Turdus,philomelos,Song Thrush,"male, song"
167158,Turdus,philomelos,Song Thrush,"male, song"
189480,Turdus,philomelos,Song Thrush,"male, song"
309586,Turdus,philomelos,Song Thrush,"male, song"
306098,Turdus,philomelos,Song Thrush,"male, song"
176829,Turdus,philomelos,Song Thrush,"male, song"
303209,Turdus,philomelos,Song Thrush,"male, song"
463476,Turdus,philomelos,Song Thrush,"male, song"
529788,Turdus,philomelos,Song Thrush,"adult, male, song"
207229,Turdus,philomelos,Song Thrush,"male, song"
185874,Turdus,philomelos,Song Thrush,"male, song"
176738,Turdus,philomelos,Song Thrush,"male, song"
207228,Turdus,philomelos,Song Thrush,"male, song"
317110,Turdus,philomelos,Song Thrush,"male, song"
410234,Turdus,philomelos,Song Thrush,"male, song"
170872,Turdus,philomelos,Song Thrush,"male, song"
168171,Turdus,philomelos,Song Thrush,"male, song"
210667,Turdus,philomelos,Song Thrush,"male, song"
455711,Turdus,philomelos,Song Thrush,"male, song"
481254,Turdus,philomelos,Song Thrush,"male, song"
528246,Turdus,philomelos,Song Thrush,"male, song"
167165,Turdus,philomelos,Song Thrush,"male, song"
336236,Turdus,philomelos,Song Thrush,"male, song"
236127,Turdus,philomelos,Song Thrush,"male, song"
182237,Turdus,philomelos,Song Thrush,"call, male, song"
169606,Turdus,philomelos,Song Thrush,"male, song"
166037,Turdus,philomelos,Song Thrush,"male, song"
144337,Turdus,philomelos,Song Thrush,"male, song"
179998,Sylvia,communis,Common Whitethroat,"call, male, song"
283580,Sylvia,communis,Common Whitethroat,"male, song"
206631,Sylvia,communis,Common Whitethroat,"call, male, song"
142078,Sylvia,communis,Common Whitethroat,"male, song"
198329,Sylvia,communis,Common Whitethroat,"male, song"
187751,Sylvia,communis,Common Whitethroat,"male, song"
519929,Sylvia,communis,Common Whitethroat,"male, song"
188718,Sylvia,communis,Common Whitethroat,"male, song"
179999,Sylvia,communis,Common Whitethroat,"call, male, song"
349922,Sylvia,communis,Common Whitethroat,"male, song"
199672,Sylvia,communis,Common Whitethroat,"male, song"
501882,Sylvia,communis,Common Whitethroat,"female, male, song"
190916,Sylvia,communis,Common Whitethroat,"male, song"
188994,Sylvia,communis,Common Whitethroat,"male, song"
189365,Sylvia,communis,Common Whitethroat,"male, song"
199378,Sylvia,communis,Common Whitethroat,"male, song"
188726,Sylvia,communis,Common Whitethroat,"male, song"
199176,Sylvia,communis,Common Whitethroat,"male, song"
325323,Sylvia,communis,Common Whitethroat,"male, song"
483415,Sylvia,communis,Common Whitethroat,"male, song"
192220,Sylvia,communis,Common Whitethroat,"male, song"
182326,Sylvia,communis,Common Whitethroat,"male, song"
189119,Sylvia,communis,Common Whitethroat,"male, song"
192218,Sylvia,communis,Common Whitethroat,"male, song"
188731,Sylvia,communis,Common Whitethroat,"male, song"
263176,Sylvia,communis,Common Whitethroat,"male, song"
134536,Sylvia,communis,Common Whitethroat,"male, song"
473819,Sylvia,communis,Common Whitethroat,"male, song"
194904,Sylvia,communis,Common Whitethroat,"male, song"
201139,Sylvia,communis,Common Whitethroat,"male, song"
